LANG;TYPE;DOMAIN;SUBDOMAIN;NAME;URL
EN;Cheatsheet;Security;All;SANS Institute;https://www.sans.org/posters/
EN;Cheatsheet;Security;CERT;CERT-SG;https://github.com/certsocietegenerale/IRM
EN;Cheatsheet;Security;Web;OWASP;https://cheatsheetseries.owasp.org/
EN;CTF training;Security;All;HackTheBox;https://www.hackthebox.com/
EN;CTF training;Security;All;picoCTF;https://play.picoctf.org/
EN;CTF training;Security;All;Root-Me;https://www.root-me.org/
EN;CTF training;Security;All;TryHackMe;https://tryhackme.com/
EN;CTF training;Security;CERT;CyberDefenders;https://cyberdefenders.org/labs/
EN;CTF training;Security;Crypto;CryptoHack;https://cryptohack.org/
EN;MOOC;Security;CERT;CIRCL;https://www.circl.lu/services/training/
EN;MOOC;Security;CERT;ENISA;https://www.enisa.europa.eu/topics/trainings-for-cybersecurity-specialists/online-training-material
EN;MOOC;Security;CERT;FIRST;https://www.first.org/education/trainings
EN;MOOC;Security;CTI;MISP;https://github.com/MISP/misp-training
EN;MOOC;Security;CTI;MITRE ATTACK;https://attack.mitre.org/resources/training/cti/
EN;MOOC;Security;Pentest;Metasploit;https://www.offensive-security.com/metasploit-unleashed/
EN;MOOC;Security;Web;Web Security Academy;https://portswigger.net/web-security
EN;RSS feed;Security;CERT;MSRC;https://msrc-blog.microsoft.com/feed/
EN;RSS feed;Security;CERT;NCSC-UK;https://www.ncsc.gov.uk/api/1/services/v1/all-rss-feed.xml
EN;RSS feed;Security;CERT;NVD;https://nvd.nist.gov/feeds/xml/cve/misc/nvd-rss.xml
EN;RSS feed;Security;CERT;NVD Analyzed;https://nvd.nist.gov/feeds/xml/cve/misc/nvd-rss-analyzed.xml
EN;RSS feed;Security;CERT;US-CERT;https://us-cert.cisa.gov/ncas/all.xml
EN;RSS feed;Security;Enterprise;Acunetix;https://www.acunetix.com/blog/feed
EN;RSS feed;Security;Enterprise;AlienVault;https://cybersecurity.att.com/site/blog-all-rss
EN;RSS feed;Security;Enterprise;AWS;https://aws.amazon.com/blogs/security/feed/
EN;RSS feed;Security;Enterprise;Bitdefender;https://www.bitdefender.com/blog/api/rss/labs/
EN;RSS feed;Security;Enterprise;Bugcrowd;https://www.bugcrowd.com/feed/
EN;RSS feed;Security;Enterprise;Check Point;https://research.checkpoint.com/feed
EN;RSS feed;Security;Enterprise;Cisco Talos;https://blog.talosintelligence.com/feeds/posts/default
EN;RSS feed;Security;Enterprise;CompTIA;https://www.comptia.org/rssfeeds/comptia-blog
EN;RSS feed;Security;Enterprise;Crowdstrike;https://www.crowdstrike.com/blog/feed
EN;RSS feed;Security;Enterprise;Cybereason;https://www.cybereason.com/blog/rss.xml
EN;RSS feed;Security;Enterprise;Dell Secureworks;"https://www.secureworks.com/rss?feed=blog&amp;category=research-intelligence"
EN;RSS feed;Security;Enterprise;DomainTools;https://www.domaintools.com/resources/blog/feed/
EN;RSS feed;Security;Enterprise;Dragos;https://www.dragos.com/feed
EN;RSS feed;Security;Enterprise;EC-Council;https://blog.eccouncil.org/feed/
EN;RSS feed;Security;Enterprise;Eset WeLiveSecurity;https://www.welivesecurity.com/feed
EN;RSS feed;Security;Enterprise;Excellium;https://excellium-services.com/feed/
EN;RSS feed;Security;Enterprise;F-Secure;https://labs.f-secure.com/blog/rss
EN;RSS feed;Security;Enterprise;F5;https://www.f5.com/labs/rss-feeds/all.xml
EN;RSS feed;Security;Enterprise;Facebook;https://engineering.fb.com/category/security/feed/
EN;RSS feed;Security;Enterprise;FireEye;https://www.fireeye.com/blog/feed
EN;RSS feed;Security;Enterprise;Forcepoint;https://www.forcepoint.com/rss.xml
EN;RSS feed;Security;Enterprise;GitHub;https://securitylab.github.com/research/feed.xml
EN;RSS feed;Security;Enterprise;Google;https://security.googleblog.com/feeds/posts/default
EN;RSS feed;Security;Enterprise;Google Project Zero;https://googleprojectzero.blogspot.com/feeds/posts/default
EN;RSS feed;Security;Enterprise;HackerOne;https://www.hackerone.com/blog.rss
EN;RSS feed;Security;Enterprise;Hex Rays;https://hex-rays.com/feed/
EN;RSS feed;Security;Enterprise;IBM X-Force;https://securityintelligence.com/category/x-force/feed
EN;RSS feed;Security;Enterprise;Intigriti;https://blog.intigriti.com/feed/
EN;RSS feed;Security;Enterprise;Kaspersky;https://www.kaspersky.com/blog/feed/
EN;RSS feed;Security;Enterprise;Kaspersky Securelist;https://securelist.com/feed/
EN;RSS feed;Security;Enterprise;Luatix;https://medium.com/feed/luatix
EN;RSS feed;Security;Enterprise;Malwarebytes;https://blog.malwarebytes.com/feed/
EN;RSS feed;Security;Enterprise;McAfee;https://www.mcafee.com/blogs/feed/
EN;RSS feed;Security;Enterprise;Microsoft;https://www.microsoft.com/security/blog/feed/
EN;RSS feed;Security;Enterprise;MITRE ATTACK;https://medium.com/feed/mitre-attack
EN;RSS feed;Security;Enterprise;MITRE Engenuity;https://medium.com/feed/mitre-engenuity
EN;RSS feed;Security;Enterprise;MITRE Shield;https://medium.com/feed/mitre-shield
EN;RSS feed;Security;Enterprise;NCC Group;https://research.nccgroup.com/feed
EN;RSS feed;Security;Enterprise;Offensive Security;https://www.offensive-security.com/feed/
EN;RSS feed;Security;Enterprise;Packet Storm;https://rss.packetstormsecurity.com
EN;RSS feed;Security;Enterprise;Palo Alto;https://blog.paloaltonetworks.com/feed/
EN;RSS feed;Security;Enterprise;Palo Alto Unit42;https://unit42.paloaltonetworks.com/rss
EN;RSS feed;Security;Enterprise;PCI SSC;https://blog.pcisecuritystandards.org/rss.xml
EN;RSS feed;Security;Enterprise;PortSwigger;https://portswigger.net/blog/rss
EN;RSS feed;Security;Enterprise;PortSwigger Research;https://portswigger.net/research/rss
EN;RSS feed;Security;Enterprise;PortSwigger The Daily Swig;https://portswigger.net/daily-swig/rss
EN;RSS feed;Security;Enterprise;Proofpoint;https://www.proofpoint.com/us/rss.xml
EN;RSS feed;Security;Enterprise;Qualys;https://blog.qualys.com/feed
EN;RSS feed;Security;Enterprise;Quarkslab;https://blog.quarkslab.com/feeds/all.rss.xml
EN;RSS feed;Security;Enterprise;Rapid7;https://blog.rapid7.com/rss/
EN;RSS feed;Security;Enterprise;Recorded Future;https://www.recordedfuture.com/feed/
EN;RSS feed;Security;Enterprise;Red Canary;https://redcanary.com/feed
EN;RSS feed;Security;Enterprise;Red Hat;https://www.redhat.com/en/rss/blog/channel/security
EN;RSS feed;Security;Enterprise;RSA;https://www.rsa.com/en-us/blog/rss.xml
EN;RSS feed;Security;Enterprise;SANS ISC;https://isc.sans.edu/rssfeed.xml
EN;RSS feed;Security;Enterprise;Sensepost;https://sensepost.com/rss.xml
EN;RSS feed;Security;Enterprise;SentinelLabs;https://labs.sentinelone.com/feed/
EN;RSS feed;Security;Enterprise;SentinelOne;https://www.sentinelone.com/feed/
EN;RSS feed;Security;Enterprise;Shodan;http://blog.shodan.io/rss/
EN;RSS feed;Security;Enterprise;Sophos Naked Security;https://nakedsecurity.sophos.com/feed
EN;RSS feed;Security;Enterprise;SpecterOps;https://posts.specterops.io/feed
EN;RSS feed;Security;Enterprise;Splunk;https://www.splunk.com/blog/feed/
EN;RSS feed;Security;Enterprise;Synacktiv;https://www.synacktiv.com/feed/lastblog.xml
EN;RSS feed;Security;Enterprise;Tenable;https://www.tenable.com/blog/feed
EN;RSS feed;Security;Enterprise;ThreatQuotient;https://www.threatq.com/feed/
EN;RSS feed;Security;Enterprise;Trustwave;https://www.trustwave.com/en-us/rss/trustwave-blog/
EN;RSS feed;Security;Enterprise;Trustwave SpiderLabs;https://www.trustwave.com/en-us/rss/spiderlabs-blog/
EN;RSS feed;Security;Enterprise;Varonis;https://www.varonis.com/blog/feed/
EN;RSS feed;Security;Enterprise;Virus Bulletin;https://www.virusbulletin.com/rss
EN;RSS feed;Security;Enterprise;VirusTotal;https://blog.virustotal.com/feeds/posts/default
EN;RSS feed;Security;Enterprise;VMware;https://blogs.vmware.com/top-nav/security/feed
EN;RSS feed;Security;Enterprise;YesWeHack;https://blog.yeswehack.com/feed/
EN;RSS feed;Security;Enterprise;Zero Day Initiative;https://www.zerodayinitiative.com/blog/?format=rss
EN;RSS feed;Security;Enterprise;Zscaler;https://www.zscaler.com/blogs/feeds
EN;RSS feed;Security;Government;CISA;https://www.cisa.gov/cisa/news.xml
EN;RSS feed;Security;Government;ENISA;https://www.enisa.europa.eu/rss.xml
EN;RSS feed;Security;Government;NIST;https://www.nist.gov/blogs/cybersecurity-insights/rss.xml
EN;RSS feed;Security;Youtube;13Cubed;https://www.youtube.com/feeds/videos.xml?channel_id=UCy8ntxFEudOCRZYT1f7ya9Q
EN;RSS feed;Security;Youtube;Black Hat;https://www.youtube.com/feeds/videos.xml?channel_id=UCJ6q9Ie29ajGqKApbLqfBOg
EN;RSS feed;Security;Youtube;BotConf;https://www.youtube.com/feeds/videos.xml?channel_id=UCXpJo9O2-ynPeK5SOkMfakg
EN;RSS feed;Security;Youtube;BruCon;https://www.youtube.com/feeds/videos.xml?channel_id=UCqwMU1l90lf9BLersW6eAHw
EN;RSS feed;Security;Youtube;CCC;https://www.youtube.com/feeds/videos.xml?channel_id=UC2TXq_t06Hjdr2g_KdKpHQg
EN;RSS feed;Security;Youtube;CCDCOE;https://www.youtube.com/feeds/videos.xml?channel_id=UCkhMrooxbUEA0PklayujbgA
EN;RSS feed;Security;Youtube;Codingo;https://www.youtube.com/feeds/videos.xml?channel_id=UCUfO02gdMDXgOJWdv_jiLMg
EN;RSS feed;Security;Youtube;DefCon;https://www.youtube.com/feeds/videos.xml?channel_id=UC6Om9kAkl32dWlDSNlDS9Iw
EN;RSS feed;Security;Youtube;FIRST;https://www.youtube.com/feeds/videos.xml?channel_id=UCK3_z6YyWvfqrOuCmrfxsTw
EN;RSS feed;Security;Youtube;GreHack;https://www.youtube.com/feeds/videos.xml?channel_id=UCXpdxLSDlJmgphPCRK9kR_Q
EN;RSS feed;Security;Youtube;Hack The Box;https://www.youtube.com/feeds/videos.xml?channel_id=UCi67lRCd5qpaHwSXNJisuRQ
EN;RSS feed;Security;Youtube;HackerOne;https://www.youtube.com/feeds/videos.xml?channel_id=UCsgzmECky2Q9lQMWzDwMhYw
EN;RSS feed;Security;Youtube;HackerSploit;https://www.youtube.com/feeds/videos.xml?channel_id=UC0ZTPkdxlAKf-V33tqXwi3Q
EN;RSS feed;Security;Youtube;InsiderPhD;https://www.youtube.com/feeds/videos.xml?channel_id=UCPiN9NPjIer8Do9gUFxKv7A
EN;RSS feed;Security;Youtube;IppSec;https://www.youtube.com/feeds/videos.xml?channel_id=UCa6eh7gCkpPo5XXUDfygQQA
EN;RSS feed;Security;Youtube;John Hammond;https://www.youtube.com/feeds/videos.xml?channel_id=UCVeW9qkBjo3zosnqUbG7CFw
EN;RSS feed;Security;Youtube;LiveOverflow;https://www.youtube.com/feeds/videos.xml?channel_id=UClcE-kVhqyiHCcjYwcpfj9w
EN;RSS feed;Security;Youtube;LiveUnderflow;https://www.youtube.com/feeds/videos.xml?channel_id=UCNNfzr9A5dEOscVEDyyzo-A
EN;RSS feed;Security;Youtube;MITRE;https://www.youtube.com/feeds/videos.xml?channel_id=UCqD5MdT9cw4LBQ2TaH1-fkw
EN;RSS feed;Security;Youtube;OffensiveCon;https://www.youtube.com/feeds/videos.xml?channel_id=UCMNvAtT4ak2azKNk6UlB1QQ
EN;RSS feed;Security;Youtube;PortSwigger;https://www.youtube.com/feeds/videos.xml?channel_id=UCkytgKNbJ0L1UuN1K27GAKA
EN;RSS feed;Security;Youtube;Qualys;https://www.youtube.com/feeds/videos.xml?channel_id=UCUHW9oR4Ti3nxIgVwln2KuA
EN;RSS feed;Security;Youtube;Red Team Village;https://www.youtube.com/feeds/videos.xml?channel_id=UC8nq3PX9coMiqgKH6fw-VCQ
EN;RSS feed;Security;Youtube;RPISEC;https://www.youtube.com/feeds/videos.xml?channel_id=UCY_laWYwPgB9eyxMdPjedcQ
EN;RSS feed;Security;Youtube;SANS DFIR;https://www.youtube.com/feeds/videos.xml?channel_id=UCwSo89W3KgPrid41vskBDYA
EN;RSS feed;Security;Youtube;SANS Offensive Operations;https://www.youtube.com/feeds/videos.xml?channel_id=UCP28F4uf9s2V1_SQwnJST_A
EN;RSS feed;Security;Youtube;STOK;https://www.youtube.com/feeds/videos.xml?channel_id=UCQN2DsjnYH60SFBIA6IkNwg
EN;RSS feed;Security;Youtube;The Cyber Mentor;https://www.youtube.com/feeds/videos.xml?channel_id=UC0ArlFuFYMpEewyRBzdLHiw
EN;RSS feed;Security;Youtube;Virus Bulletin;https://www.youtube.com/feeds/videos.xml?channel_id=UCrWiEssvRxkygN3nYgNUP4g
FR;RSS feed;Security;CERT;CERT-FR;https://www.cert.ssi.gouv.fr/feed/
FR;RSS feed;Security;CERT;Cyberveille Santé;https://www.cyberveille-sante.gouv.fr/cyberveille/rss.xml
FR;RSS feed;Security;Enterprise;Acceis;https://www.acceis.fr/feed/
FR;RSS feed;Security;Enterprise;Amossys;https://blog.amossys.fr/feeds/all.rss.xml
FR;RSS feed;Security;Enterprise;BSSI;https://blog.bssi.fr/feed/
FR;RSS feed;Security;Enterprise;Intrinsec;https://www.intrinsec.com/blog/feed
FR;RSS feed;Security;Enterprise;OCD;https://orangecyberdefense.com/fr/feed
FR;RSS feed;Security;Enterprise;Sekoia;https://medium.com/feed/@Sekoia_team
FR;RSS feed;Security;Enterprise;Stormshield;https://www.stormshield.com/fr/feed/
FR;RSS feed;Security;Enterprise;Synetis;https://www.synetis.com/feed/
FR;RSS feed;Security;Enterprise;XMCO;https://blog.xmco.fr/feed.rss
FR;RSS feed;Security;Government;ANSSI;https://www.ssi.gouv.fr/feed/actualite/
FR;RSS feed;Security;Government;CNIL;https://www.cnil.fr/fr/rss.xml
FR;RSS feed;Security;Youtube;AEGE;https://www.youtube.com/feeds/videos.xml?channel_id=UCbIfUl3QPj35cT7za0iFDxQ
FR;RSS feed;Security;Youtube;Hack-It-N;https://www.youtube.com/feeds/videos.xml?channel_id=UC97prj7oI1Lhf9j1NYLcoKA
FR;RSS feed;Security;Youtube;Hack2G2;https://www.youtube.com/feeds/videos.xml?channel_id=UCqJt_ViIsIBNk7OLhEm_bZA
FR;RSS feed;Security;Youtube;LeHack;https://www.youtube.com/feeds/videos.xml?channel_id=UCSxk_CUfES4ly5Sspc0Vorw
FR;RSS feed;Security;Youtube;Les Assises;https://www.youtube.com/feeds/videos.xml?channel_id=UCpAeamS7J6gtSsrTOVO4nqQ
FR;RSS feed;Security;Youtube;NoLimitSecu;https://www.youtube.com/feeds/videos.xml?channel_id=UCmDIvvdp_o2jAvMLyi6kgrg
FR;RSS feed;Security;Youtube;THCon;https://www.youtube.com/feeds/videos.xml?channel_id=UCynu1UtpaZCpDV2IVenAdkg
